Acer ; Liquid Jade Primo
Panasonic ; Eluga Z1 Pro
Panasonic ; Eluga Ray 530
Panasonic ; Eluga Ray 600
Panasonic ; Eluga X1 Pro
Philips ; Xenium 9@9 ++
Plum ; Ram 8
Plum ; Gator 5
Sagem ; MY C5-2
Samsung ; Galaxy A6s
Samsung ; Galaxy A9 (2018)
Samsung ; Galaxy J6+
Samsung ; Galaxy J4 Core
Samsung ; Galaxy J4+
Samsung ; Galaxy A8 Star (A9 Star)
Samsung ; Galaxy J8
Samsung ; Galaxy A6+ (2018)
Samsung ; Galaxy A8+ (2018)
Samsung ; Galaxy J1 Nxt
Samsung ; Galaxy J3 (2016)
Samsung ; Galaxy Note5 (USA)
Samsung ; Galaxy S6 edge+ (USA)
Samsung ; Galaxy S6 edge+ Duos
Samsung ; Galaxy Tab A 9.7 & S Pen
Samsung ; Galaxy S6 edge (USA)
Samsung ; Galaxy S6 (USA)
Samsung ; Galaxy Note 4 (USA)
Samsung ; Galaxy S5 (USA)
Samsung ; i530
Sharp ; Aquos R2 compact
Sharp ; Aquos D10
Sharp ; Aquos B10
Sharp ; Aquos C10
Sharp ; Aquos S3 High Edition
Sharp ; Aquos R2
Sony ; Xperia Z3+ dual
Spice ; Mi-492 Stellar Virtuoso Pro+
Toshiba ; Excite Pro
Toshiba ; Excite Write
Toshiba ; Excite Pure
vivo ; Y95
vivo ; Z1 Lite
vivo ; Y93
vivo ; Y81i
vivo ; Z3i
vivo ; Y71i
vivo ; V11i
vivo ; Y97
vivo ; V11 (V11 Pro)
vivo ; Y83 Pro
vivo ; V9 6GB
vivo ; Z1i
vivo ; NEX S
vivo ; NEX A
vivo ; X21i
Wiko ; View2 Plus
Xiaomi ; Mi Mix 3
Xiaomi ; Black Shark Helo
Xiaomi ; Redmi Note 6 Pro
Xiaomi ; Mi 8 Pro
Xiaomi ; Mi 8 Lite
Xiaomi ; Pocophone F1
Xiaomi ; Mi A2 Lite (Redmi 6 Pro)
Xiaomi ; Mi 8 Explorer
Xiaomi ; Mi 8
Xiaomi ; Mi 8 SE
Xiaomi ; Redmi S2 (Redmi Y2)
Xiaomi ; Redmi Note 5 AI Dual Camera
Xiaomi ; Mi A1 (Mi 5X)
Xiaomi ; Mi Note Pro
Xiaomi ; Mi Note Plus
ZTE ; Blade Z Max
ZTE ; Boost Max+
ZTE ; Blade II V880+
